"Genero","Edad","Efectivo","Online","GastoMedio","G"
"Hombre",68,"Si","Si",157.89,"A"
"Hombre",24,"Si","Si",130.33,"V"
"Hombre",32,"No","Si",174.76,"A"
"Mujer",30,"Si","No",198.57,"A"
"Hombre",69,"Si","No",165.57,"A"
"Mujer",64,"No","No",204.76,"R"
"Mujer",69,"Si","No",170.3,"A"
"Hombre",21,"Si","Si",121.35,"V"
"Hombre",43,"Si","No",234.69,"R"
"Mujer",44,"No","No",261.02,"R"
"Hombre",70,"No","Si",143.58,"V"
"Hombre",41,"Si","Si",230.43,"R"
"Mujer",32,"No","Si",215.67,"R"
"Mujer",41,"Si","Si",253.91,"R"
"Mujer",60,"Si","Si",232.91,"R"
"Mujer",33,"Si","No",217.81,"R"
"Mujer",26,"Si","Si",170.61,"A"
"Mujer",59,"Si","No",236.25,"R"
"Hombre",52,"Si","Si",228.15,"R"
"Mujer",51,"Si","No",258.7,"R"
"Mujer",70,"Si","No",161.18,"A"
"Mujer",67,"No","No",183.86,"A"
"Hombre",19,"Si","Si",93.84,"M"
"Mujer",68,"Si","No",176.89,"A"
"Hombre",30,"Si","No",190.48,"A"
"Mujer",31,"Si","No",205.79,"R"
"Mujer",39,"No","Si",249.19,"R"
"Hombre",43,"No","Si",221.01,"R"
"Hombre",38,"No","Si",206.53,"R"
"Mujer",30,"No","Si",204.12,"R"
"Hombre",51,"No","No",234.8,"R"
"Hombre",63,"No","Si",196.02,"A"
"Hombre",56,"No","Si",213.68,"R"
"Mujer",41,"Si","Si",251.84,"R"
"Hombre",46,"No","No",225.32,"R"
"Hombre",42,"Si","Si",210.98,"R"
"Mujer",27,"No","No",178.31,"A"
"Hombre",24,"No","No",138.79,"V"
"Mujer",18,"Si","No",87.47,"M"
"Hombre",58,"Si","Si",208.38,"R"
"Hombre",30,"No","Si",164.46,"A"
"Hombre",65,"Si","No",177.48,"A"
"Mujer",24,"Si","Si",151.19,"A"
"Hombre",32,"No","No",183.43,"A"
"Hombre",25,"No","Si",156.85,"A"
"Hombre",26,"No","Si",153.55,"A"
"Mujer",47,"No","No",263.39,"R"
"Hombre",34,"No","Si",200.91,"R"
"Hombre",45,"Si","Si",217.56,"R"
"Mujer",35,"Si","No",231.9,"R"
"Hombre",51,"No","Si",232.88,"R"
"Hombre",51,"No","No",215.87,"R"
"Hombre",35,"No","Si",196.02,"A"
"Hombre",21,"Si","No",106.08,"V"
"Mujer",65,"No","Si",202.08,"R"
"Mujer",66,"No","Si",194.93,"A"
"Mujer",46,"No","No",262.21,"R"
"Mujer",25,"Si","Si",159.65,"A"
"Mujer",45,"Si","No",255.69,"R"
"Mujer",70,"Si","No",158.52,"A"
"Mujer",22,"No","Si",131.35,"V"
"Mujer",39,"No","Si",248.54,"R"
"Hombre",27,"Si","Si",156.41,"A"
"Mujer",61,"Si","Si",224.85,"R"
"Hombre",26,"No","Si",148.25,"V"
"Hombre",53,"Si","Si",229.29,"R"
"Mujer",64,"Si","Si",203.64,"R"
"Hombre",61,"Si","Si",198,"A"
"Mujer",29,"Si","No",191.8,"A"
"Mujer",56,"Si","Si",245.11,"R"
"Mujer",24,"No","No",149.15,"V"
"Hombre",66,"Si","No",167.48,"A"
"Hombre",36,"Si","Si",221.75,"R"
"Hombre",35,"Si","No",208.22,"R"
"Hombre",59,"No","Si",219.06,"R"
"Hombre",65,"No","No",199.54,"A"
"Hombre",56,"Si","No",210.35,"R"
"Hombre",40,"Si","Si",211.12,"R"
"Hombre",45,"No","No",224.36,"R"
"Mujer",29,"Si","Si",190.53,"A"
"Mujer",20,"Si","Si",109.22,"V"
"Hombre",27,"No","Si",153.04,"A"
"Mujer",64,"Si","Si",204.93,"R"
"Hombre",39,"No","Si",194.55,"A"
"Mujer",65,"Si","Si",199.9,"A"
"Hombre",50,"No","No",218.82,"R"
"Hombre",36,"No","Si",208.67,"R"
"Mujer",38,"Si","No",244.19,"R"
"Hombre",40,"Si","Si",217.19,"R"
"Mujer",55,"Si","Si",248.27,"R"
"Mujer",54,"Si","No",252.9,"R"
"Mujer",23,"Si","Si",138.07,"V"
"Hombre",37,"Si","No",215.31,"R"
"Hombre",60,"No","No",214.27,"R"
"Mujer",62,"Si","No",217.96,"R"
"Hombre",55,"No","No",220.69,"R"
"Mujer",52,"Si","No",256.62,"R"
"Mujer",53,"No","No",251.88,"R"
"Mujer",43,"Si","No",256.8,"R"
"Hombre",41,"No","No",213.97,"R"
"Mujer",55,"No","Si",250.54,"R"
"Hombre",69,"No","Si",170.54,"A"
"Mujer",37,"No","No",242.46,"R"
"Mujer",22,"Si","Si",133.82,"V"
"Hombre",53,"Si","Si",221.71,"R"
"Hombre",31,"Si","No",180.86,"A"
"Hombre",19,"Si","Si",94.99,"M"
"Hombre",62,"Si","Si",180.55,"A"
"Hombre",27,"No","Si",145.73,"V"
"Mujer",37,"Si","No",237.92,"R"
"Mujer",32,"Si","Si",216.59,"R"
"Mujer",20,"Si","Si",109.83,"V"
"Mujer",24,"Si","Si",150.37,"A"
"Hombre",40,"Si","No",226.06,"R"
"Hombre",52,"No","No",220.48,"R"
"Hombre",46,"Si","Si",224.03,"R"
"Mujer",53,"Si","No",255.19,"R"
"Mujer",59,"No","Si",234.02,"R"
"Mujer",44,"Si","No",257.97,"R"
"Hombre",24,"No","No",152.3,"A"
"Hombre",29,"Si","Si",173.92,"A"
"Hombre",57,"No","No",228.94,"R"
"Hombre",43,"No","No",237.36,"R"
"Mujer",29,"Si","No",194.05,"A"
"Mujer",40,"Si","Si",249.66,"R"
"Hombre",58,"No","No",211.75,"R"
"Hombre",34,"Si","No",183.54,"A"
"Hombre",24,"Si","Si",136.22,"V"
"Mujer",21,"No","No",124.31,"V"
"Mujer",24,"No","No",153.85,"A"
"Mujer",56,"Si","Si",244.77,"R"
"Mujer",31,"Si","Si",208.41,"R"
"Hombre",20,"Si","No",98.16,"M"
"Hombre",35,"No","No",199.81,"A"
"Hombre",42,"No","No",225.83,"R"
"Hombre",45,"No","Si",225.97,"R"
"Hombre",50,"No","No",223.92,"R"
"Mujer",52,"Si","Si",258.16,"R"
"Mujer",58,"Si","Si",241.43,"R"
"Hombre",60,"No","Si",200.01,"R"
"Hombre",21,"No","No",114.04,"V"
"Hombre",67,"No","Si",185.72,"A"
"Mujer",62,"No","Si",216.21,"R"
"Mujer",62,"Si","No",223.21,"R"
"Hombre",40,"Si","No",220.96,"R"
"Mujer",43,"Si","Si",261.24,"R"
"Hombre",34,"No","Si",190.7,"A"
"Mujer",18,"Si","Si",83.92,"M"
"Hombre",48,"Si","No",229.81,"R"
"Mujer",38,"No","No",242.49,"R"
"Hombre",54,"No","No",224.48,"R"
"Hombre",39,"Si","Si",200.93,"R"
"Mujer",36,"No","Si",233.67,"R"
"Mujer",37,"Si","Si",239.45,"R"
"Hombre",25,"No","No",148.69,"V"
"Mujer",62,"Si","Si",219.68,"R"
"Mujer",43,"Si","No",255.61,"R"
"Hombre",60,"Si","No",193.85,"A"
"Hombre",63,"Si","Si",192.21,"A"
"Mujer",31,"No","No",208.69,"R"
"Mujer",42,"Si","No",256.68,"R"
"Hombre",34,"Si","Si",200.8,"R"
"Mujer",25,"Si","No",158.59,"A"
"Hombre",48,"No","Si",219.54,"R"
"Hombre",18,"No","Si",97.12,"M"
"Mujer",70,"Si","Si",156.83,"A"
"Hombre",53,"No","Si",215.11,"R"
"Mujer",29,"No","No",193.63,"A"
"Hombre",45,"No","Si",218.66,"R"
"Hombre",70,"Si","No",162.99,"A"
"Hombre",70,"No","No",151.94,"A"
"Mujer",58,"No","No",239.95,"R"
"Mujer",39,"No","No",244.78,"R"
"Mujer",54,"Si","Si",249.71,"R"
"Hombre",53,"Si","No",223.92,"R"
"Mujer",18,"Si","No",84.11,"M"
"Hombre",68,"Si","Si",158.5,"A"
"Mujer",58,"Si","Si",239.76,"R"
"Hombre",32,"Si","Si",188.9,"A"
"Mujer",40,"Si","Si",254.84,"R"
"Mujer",48,"No","No",260.78,"R"
"Hombre",66,"No","No",182.6,"A"
"Mujer",23,"No","No",138.3,"V"
"Mujer",57,"No","No",237.16,"R"
"Hombre",33,"No","Si",180.2,"A"
"Mujer",43,"No","Si",261.74,"R"
"Mujer",19,"Si","No",96.86,"M"
"Hombre",30,"Si","Si",176.77,"A"
"Hombre",70,"No","No",152.02,"A"
"Hombre",30,"Si","Si",170.45,"A"
"Hombre",27,"No","No",151.1,"A"
"Hombre",53,"No","Si",223.36,"R"
"Mujer",36,"Si","Si",232.57,"R"
"Hombre",35,"No","Si",202.25,"R"
"Hombre",44,"No","No",215.46,"R"
"Hombre",42,"No","Si",218.16,"R"
"Mujer",48,"Si","Si",261.53,"R"
"Mujer",39,"Si","No",249.1,"R"
"Hombre",50,"No","Si",227.47,"R"
"Mujer",26,"Si","Si",169.25,"A"
"Mujer",37,"No","No",242.44,"R"
"Mujer",58,"Si","Si",238.05,"R"
"Mujer",57,"No","Si",242.61,"R"
"Hombre",52,"Si","No",215.11,"R"
"Hombre",60,"No","No",207.98,"R"
"Hombre",70,"Si","Si",162.59,"A"
"Mujer",56,"Si","Si",244.78,"R"
"Mujer",59,"Si","No",233.14,"R"
"Mujer",19,"No","No",96.13,"M"
"Hombre",39,"Si","Si",218.74,"R"
"Hombre",28,"No","No",162.24,"A"
"Hombre",21,"No","Si",94.87,"M"
"Mujer",23,"Si","Si",139.2,"V"
"Mujer",25,"Si","Si",160.77,"A"
"Mujer",20,"Si","No",107.83,"V"
"Mujer",65,"Si","No",198.5,"A"
"Mujer",61,"Si","Si",223.47,"R"
"Mujer",30,"Si","No",199.66,"A"
"Mujer",56,"Si","Si",243.5,"R"
"Hombre",26,"Si","No",150.48,"A"
"Hombre",34,"Si","No",201.97,"R"
"Hombre",39,"No","Si",227.56,"R"
"Hombre",43,"No","No",222.85,"R"
"Mujer",53,"No","Si",255.17,"R"
"Mujer",65,"Si","No",203.47,"R"
"Hombre",43,"Si","Si",220.17,"R"
"Hombre",56,"Si","Si",200.8,"R"
"Mujer",39,"No","Si",244.98,"R"
"Hombre",31,"No","No",181.21,"A"
"Hombre",69,"No","Si",163.24,"A"
"Mujer",52,"Si","Si",258.68,"R"
"Hombre",61,"Si","Si",190.79,"A"
"Mujer",38,"Si","Si",244.03,"R"
"Mujer",58,"Si","Si",239.34,"R"
"Hombre",39,"Si","No",211.59,"R"
"Mujer",67,"No","Si",179.58,"A"
"Hombre",60,"No","No",205.22,"R"
"Hombre",19,"Si","No",97.4,"M"
"Hombre",54,"No","No",224.71,"R"
"Mujer",68,"Si","Si",177.27,"A"
"Mujer",27,"No","No",175.96,"A"
"Mujer",55,"Si","No",251.06,"R"
"Hombre",51,"Si","Si",220.43,"R"
"Mujer",59,"Si","No",231.67,"R"
"Mujer",54,"Si","No",254.06,"R"
"Mujer",18,"No","No",86.44,"M"
"Hombre",50,"No","No",213.16,"R"
"Mujer",64,"Si","Si",206.19,"R"
"Mujer",51,"Si","Si",261.02,"R"
"Hombre",33,"No","No",199.64,"A"
"Mujer",55,"No","Si",250.68,"R"
"Mujer",49,"No","Si",257.46,"R"
"Hombre",65,"No","No",206.67,"R"
"Mujer",22,"Si","Si",131.79,"V"
"Hombre",45,"No","No",216.76,"R"
"Hombre",65,"Si","Si",186.7,"A"
"Mujer",60,"No","No",233.35,"R"
"Hombre",33,"No","Si",200.53,"R"
"Mujer",28,"No","No",185.49,"A"
"Hombre",42,"Si","No",224.51,"R"
"Hombre",65,"No","No",205.58,"R"
"Hombre",69,"No","Si",172.05,"A"
"Hombre",47,"Si","Si",220.13,"R"
"Hombre",53,"Si","Si",218.89,"R"
"Hombre",30,"Si","No",183.43,"A"
"Mujer",57,"Si","No",244.05,"R"
"Hombre",33,"No","No",189.44,"A"
"Mujer",19,"Si","Si",97.56,"M"
"Hombre",30,"Si","Si",180.52,"A"
"Mujer",19,"No","No",99.14,"M"
"Hombre",37,"No","Si",215.47,"R"
"Mujer",31,"No","Si",209.43,"R"
"Hombre",59,"Si","Si",207.81,"R"
"Mujer",21,"Si","Si",120.75,"V"
"Mujer",44,"No","Si",256.87,"R"
"Hombre",18,"No","No",93.75,"M"
"Mujer",20,"Si","Si",108.89,"V"
"Mujer",67,"No","No",186.5,"A"
"Mujer",54,"No","Si",246.36,"R"
"Mujer",66,"Si","No",191.56,"A"
"Mujer",19,"Si","Si",99.07,"M"
"Hombre",54,"No","No",227.27,"R"
"Mujer",38,"No","Si",243.82,"R"
"Mujer",27,"No","No",175.1,"A"
"Mujer",65,"Si","Si",199.24,"A"
"Mujer",66,"No","No",191.08,"A"
"Hombre",30,"No","No",172.66,"A"
"Hombre",43,"Si","Si",217.71,"R"
"Mujer",31,"No","Si",206.7,"R"
"Mujer",39,"Si","Si",248.74,"R"
"Hombre",27,"No","No",160.78,"A"
"Hombre",30,"No","Si",175.14,"A"
"Hombre",28,"Si","Si",162.16,"A"
"Mujer",56,"No","Si",244.62,"R"
"Mujer",49,"No","No",263.41,"R"
"Mujer",69,"Si","No",168.02,"A"
"Mujer",32,"No","No",211.61,"R"
"Mujer",25,"No","No",162.71,"A"
"Hombre",25,"Si","Si",151.95,"A"
"Mujer",66,"Si","No",192.25,"A"
"Hombre",50,"No","No",223.51,"R"
"Hombre",36,"No","Si",201.77,"R"
"Mujer",49,"No","No",259.06,"R"
"Hombre",60,"No","Si",201.21,"R"
"Mujer",26,"Si","No",168.77,"A"
"Mujer",25,"Si","Si",154.66,"A"
"Hombre",37,"No","No",201.67,"R"
"Mujer",51,"No","Si",258.24,"R"
"Mujer",32,"Si","Si",210.57,"R"
"Hombre",20,"No","No",111.4,"V"
"Mujer",50,"No","No",263.25,"R"
"Hombre",65,"Si","No",200.84,"R"
"Mujer",35,"No","No",231.52,"R"
"Mujer",45,"Si","Si",257.44,"R"
"Hombre",41,"Si","Si",230.19,"R"
"Hombre",35,"Si","Si",198.56,"A"
"Hombre",25,"No","Si",146.48,"V"
"Mujer",19,"Si","No",100.3,"V"
"Mujer",34,"Si","Si",224,"R"
"Mujer",35,"Si","No",231.79,"R"
"Hombre",39,"No","No",204.55,"R"
"Mujer",23,"Si","No",139.1,"V"
"Hombre",28,"Si","Si",161.51,"A"
"Hombre",41,"Si","No",213.05,"R"
"Mujer",39,"Si","Si",249.98,"R"
"Hombre",55,"No","No",232.21,"R"
"Mujer",58,"Si","No",238.41,"R"
"Hombre",28,"No","Si",178.69,"A"
"Mujer",39,"Si","Si",246.52,"R"
"Hombre",65,"No","No",181.67,"A"
"Mujer",69,"No","No",166.31,"A"
"Mujer",45,"No","Si",258.13,"R"
"Mujer",27,"Si","No",176.21,"A"
"Mujer",47,"No","No",261.93,"R"
"Mujer",68,"Si","No",174.24,"A"
"Mujer",22,"Si","Si",131.17,"V"
"Mujer",21,"Si","Si",125.83,"V"
"Hombre",26,"No","No",156.05,"A"
"Mujer",69,"Si","Si",168.64,"A"
"Mujer",54,"No","No",250.84,"R"
"Mujer",49,"Si","Si",260.08,"R"
"Hombre",39,"Si","Si",201.3,"R"
"Hombre",24,"No","No",130.97,"V"
"Hombre",59,"Si","Si",203.01,"R"
"Hombre",67,"Si","No",170.1,"A"
"Mujer",24,"Si","Si",150.02,"A"
"Hombre",22,"No","Si",109.86,"V"
"Mujer",31,"Si","Si",202.62,"R"
"Mujer",20,"No","Si",111.82,"V"
"Hombre",62,"Si","No",198.61,"A"
"Mujer",46,"Si","Si",260.29,"R"
"Mujer",22,"Si","Si",127.46,"V"
"Mujer",69,"Si","Si",169.61,"A"
"Hombre",40,"No","No",191.77,"A"
"Hombre",43,"Si","Si",227.24,"R"
"Mujer",70,"Si","Si",157.78,"A"
"Hombre",57,"No","No",215.71,"R"
"Hombre",36,"No","Si",202.7,"R"
"Hombre",50,"No","Si",225.14,"R"
"Mujer",44,"Si","No",261.8,"R"
"Hombre",65,"No","Si",188.42,"A"
"Hombre",44,"Si","Si",214.18,"R"
"Mujer",45,"No","Si",260.28,"R"
"Hombre",23,"No","Si",126.48,"V"
"Hombre",65,"Si","Si",177.86,"A"
"Mujer",42,"Si","Si",255.04,"R"
"Mujer",35,"Si","No",232.45,"R"
"Hombre",67,"Si","Si",183.44,"A"
"Hombre",37,"No","No",189.37,"A"
"Mujer",18,"Si","Si",86.85,"M"
"Hombre",57,"No","No",210.04,"R"
"Mujer",65,"Si","No",199.44,"A"
"Mujer",59,"Si","No",233.77,"R"
"Hombre",24,"No","Si",134.94,"V"
"Mujer",67,"Si","Si",187.48,"A"
"Mujer",33,"Si","Si",220.67,"R"
"Hombre",42,"No","Si",217.84,"R"
"Mujer",54,"Si","Si",251.38,"R"
"Mujer",20,"No","Si",109.15,"V"
"Mujer",22,"Si","No",132.61,"V"
"Hombre",42,"No","No",220.64,"R"
"Hombre",41,"Si","Si",216.4,"R"
"Mujer",67,"Si","No",186.19,"A"
"Hombre",19,"Si","Si",96.03,"M"
"Mujer",43,"No","Si",257.23,"R"
"Hombre",30,"Si","No",178.4,"A"
"Hombre",43,"Si","Si",238.44,"R"
"Mujer",41,"Si","Si",250.72,"R"
"Hombre",37,"Si","No",206.83,"R"
"Mujer",64,"No","No",208.19,"R"
"Hombre",56,"Si","No",206.59,"R"
"Hombre",66,"Si","No",172.31,"A"
"Mujer",46,"Si","No",261.94,"R"
"Mujer",42,"Si","Si",255.07,"R"
"Hombre",70,"No","Si",155.25,"A"
"Mujer",49,"Si","Si",261.68,"R"
"Hombre",38,"No","Si",200.88,"R"
"Mujer",30,"No","Si",197.55,"A"
"Hombre",36,"Si","Si",214.63,"R"
"Hombre",25,"No","No",131.25,"V"
"Hombre",28,"Si","No",163.56,"A"
"Hombre",66,"No","Si",187.23,"A"
"Hombre",57,"Si","Si",215.95,"R"
"Hombre",52,"No","Si",221.71,"R"
"Mujer",40,"No","Si",250.5,"R"
"Mujer",60,"No","No",229.91,"R"
"Hombre",41,"No","Si",225.97,"R"
"Mujer",70,"No","Si",161.48,"A"
"Hombre",49,"No","Si",229.42,"R"
"Mujer",62,"No","Si",221.35,"R"
"Mujer",21,"Si","Si",120.49,"V"
"Mujer",38,"Si","Si",241.94,"R"
"Mujer",44,"Si","Si",261.19,"R"
"Hombre",45,"No","No",212.95,"R"
"Mujer",70,"Si","No",162.07,"A"
"Hombre",36,"No","No",192.25,"A"
"Hombre",70,"No","Si",164.69,"A"
"Mujer",52,"Si","No",257.27,"R"
"Mujer",43,"No","No",260.73,"R"
"Hombre",50,"No","No",227.24,"R"
"Hombre",20,"No","No",104.84,"V"
"Hombre",58,"Si","No",220.25,"R"
"Hombre",18,"Si","No",104.39,"V"
"Hombre",56,"No","No",216.25,"R"
"Mujer",23,"Si","Si",143.17,"V"
"Hombre",54,"No","No",204.46,"R"
"Mujer",42,"No","Si",255.17,"R"
"Mujer",49,"Si","Si",264.26,"R"
"Mujer",42,"No","Si",256.96,"R"
"Mujer",68,"Si","No",177.21,"A"
"Hombre",44,"No","No",234.53,"R"
"Mujer",57,"Si","Si",243.08,"R"
"Hombre",51,"No","No",221.24,"R"
"Mujer",61,"Si","Si",226.71,"R"
"Mujer",36,"Si","No",238.45,"R"
"Hombre",34,"Si","Si",191.8,"A"
"Hombre",57,"Si","No",210.82,"R"
"Mujer",47,"Si","No",256.87,"R"
"Mujer",51,"No","No",260.49,"R"
"Mujer",60,"Si","Si",232.03,"R"
"Mujer",67,"No","Si",189.52,"A"
"Hombre",20,"No","Si",99.15,"M"
"Mujer",25,"Si","No",160.54,"A"
"Mujer",57,"Si","Si",240.79,"R"
"Hombre",62,"Si","Si",196.7,"A"
"Mujer",53,"No","Si",252.74,"R"
"Hombre",62,"Si","Si",200.51,"R"
"Mujer",22,"Si","No",134.01,"V"
"Mujer",43,"No","Si",259.03,"R"
"Mujer",48,"Si","Si",261.62,"R"
"Hombre",37,"No","No",204.29,"R"
"Mujer",52,"Si","Si",255.14,"R"
"Hombre",46,"Si","No",230.46,"R"
"Hombre",50,"No","Si",233.01,"R"
"Hombre",69,"Si","No",158.84,"A"
"Mujer",48,"No","Si",259.93,"R"
"Mujer",35,"Si","No",228.83,"R"
"Hombre",23,"Si","No",141.53,"V"
"Hombre",32,"No","Si",190.87,"A"
"Mujer",18,"Si","Si",88.44,"M"
"Hombre",30,"No","Si",173.77,"A"
"Mujer",28,"Si","No",185.86,"A"
"Mujer",24,"Si","No",152.04,"A"
"Mujer",42,"No","Si",252.6,"R"
"Hombre",28,"No","Si",168.04,"A"
"Mujer",36,"No","Si",238.66,"R"
"Mujer",61,"No","No",223.6,"R"
"Hombre",65,"No","Si",192.86,"A"
"Mujer",39,"Si","Si",247.74,"R"
"Hombre",70,"Si","Si",167.49,"A"
"Mujer",31,"No","Si",204.12,"R"
"Hombre",69,"Si","Si",148.24,"V"
"Mujer",42,"Si","Si",258.55,"R"
"Mujer",39,"Si","Si",244.96,"R"
"Mujer",47,"Si","Si",261.09,"R"
"Hombre",41,"No","Si",214.77,"R"
"Mujer",65,"Si","No",199.29,"A"
"Hombre",29,"Si","Si",180.76,"A"
"Mujer",66,"No","Si",194.17,"A"
"Mujer",42,"No","No",254.19,"R"
"Hombre",19,"Si","No",83.57,"M"
"Mujer",25,"Si","No",161.19,"A"
"Mujer",29,"Si","Si",195.04,"A"
"Hombre",46,"No","No",219.3,"R"
"Hombre",55,"No","No",212.29,"R"
"Hombre",70,"Si","No",154.25,"A"
"Hombre",69,"No","No",169.65,"A"
"Mujer",54,"Si","Si",249.91,"R"
"Hombre",46,"No","Si",230.95,"R"
"Mujer",28,"Si","Si",183,"A"
"Hombre",31,"Si","Si",188.53,"A"
"Hombre",43,"Si","Si",212.78,"R"
"Hombre",69,"Si","Si",152.8,"A"
"Hombre",56,"Si","Si",219.5,"R"
"Hombre",38,"No","No",209.85,"R"
"Mujer",38,"Si","No",244.03,"R"
"Hombre",60,"Si","No",206.4,"R"
"Hombre",52,"No","Si",222.48,"R"
"Hombre",64,"Si","Si",190.92,"A"
"Hombre",60,"Si","No",216.09,"R"
"Hombre",49,"No","Si",226.48,"R"
"Hombre",59,"No","No",207.51,"R"
"Hombre",27,"Si","No",169.43,"A"
"Hombre",33,"No","Si",189.72,"A"
"Hombre",63,"No","No",206.69,"R"
"Mujer",33,"Si","Si",219.56,"R"
"Mujer",42,"No","Si",253.94,"R"
"Mujer",45,"No","No",263.14,"R"
"Mujer",70,"Si","Si",158.58,"A"
"Mujer",69,"Si","No",169.91,"A"
"Mujer",54,"No","No",254.92,"R"
"Mujer",40,"Si","Si",252.08,"R"
"Mujer",49,"Si","Si",261.07,"R"
"Hombre",45,"Si","No",219.13,"R"
"Hombre",41,"Si","Si",218.98,"R"
"Hombre",33,"No","Si",195.9,"A"
"Hombre",49,"Si","Si",233.44,"R"
"Mujer",42,"Si","Si",255.27,"R"
"Mujer",57,"Si","Si",245.01,"R"
"Mujer",30,"Si","No",200.17,"R"
"Mujer",18,"Si","Si",84.59,"M"
"Hombre",26,"Si","No",147.75,"V"
"Hombre",44,"Si","No",230.03,"R"
"Mujer",38,"Si","Si",243.88,"R"
"Mujer",57,"Si","No",239.32,"R"
"Hombre",49,"No","No",227.77,"R"
"Hombre",58,"Si","No",212.97,"R"
"Mujer",58,"No","No",241.66,"R"
"Mujer",29,"Si","Si",193.69,"A"
"Hombre",64,"Si","Si",186.74,"A"
"Mujer",21,"Si","Si",120.83,"V"
"Mujer",29,"Si","No",199.08,"A"
"Mujer",21,"Si","Si",122.55,"V"
"Mujer",70,"Si","No",160.57,"A"
"Mujer",38,"No","No",244.67,"R"
"Mujer",45,"Si","Si",255.58,"R"
"Mujer",34,"No","No",224.66,"R"
"Mujer",23,"No","No",144.77,"V"
"Hombre",68,"No","No",162.57,"A"
"Hombre",33,"Si","Si",187.66,"A"
"Mujer",50,"Si","No",259.61,"R"
"Hombre",32,"Si","Si",190.99,"A"
"Mujer",62,"Si","No",220.73,"R"
"Hombre",19,"No","No",88.73,"M"
"Mujer",39,"Si","Si",243.42,"R"
"Mujer",58,"Si","Si",237,"R"
"Hombre",49,"No","Si",226.62,"R"
"Mujer",45,"Si","No",260.86,"R"
"Hombre",34,"Si","No",199.37,"A"
"Mujer",34,"Si","Si",226.3,"R"
"Mujer",69,"Si","Si",167.13,"A"
"Hombre",48,"No","No",219.8,"R"
"Mujer",69,"Si","No",171.43,"A"
"Mujer",60,"No","Si",227.81,"R"
"Hombre",27,"No","No",165.46,"A"
"Mujer",32,"Si","Si",212.31,"R"
"Hombre",28,"No","No",168.32,"A"
"Hombre",43,"Si","No",211.14,"R"
"Mujer",67,"Si","Si",182.08,"A"
"Mujer",35,"No","Si",233.14,"R"
"Mujer",61,"Si","Si",222.97,"R"
"Mujer",29,"Si","No",192.88,"A"
"Hombre",64,"No","No",158.57,"A"
"Mujer",35,"No","No",229.66,"R"
"Hombre",65,"Si","No",185.11,"A"
"Hombre",59,"Si","Si",212.89,"R"
"Hombre",31,"No","Si",177.98,"A"
"Mujer",58,"Si","No",241.65,"R"
"Mujer",30,"Si","Si",196.32,"A"
"Hombre",54,"Si","No",223.5,"R"
"Hombre",48,"No","Si",225.97,"R"
"Mujer",54,"No","No",250.87,"R"
"Mujer",21,"Si","Si",119.8,"V"
"Hombre",37,"No","No",211.49,"R"
"Mujer",19,"Si","Si",97.23,"M"
"Hombre",33,"Si","Si",186.02,"A"
"Mujer",45,"No","No",258.5,"R"
"Mujer",26,"Si","Si",167.78,"A"
"Hombre",68,"Si","No",175.64,"A"
"Hombre",59,"No","Si",203.33,"R"
"Hombre",41,"No","No",225.54,"R"
"Mujer",55,"Si","Si",250.12,"R"
"Hombre",56,"No","Si",222.61,"R"
"Hombre",70,"Si","Si",160.95,"A"
"Mujer",44,"Si","No",259.7,"R"
"Hombre",63,"Si","Si",191.78,"A"
"Hombre",28,"No","No",161.35,"A"
"Hombre",24,"No","No",134.11,"V"
"Mujer",55,"Si","No",249.86,"R"
"Mujer",35,"Si","No",229.68,"R"
"Hombre",41,"Si","Si",224.1,"R"
"Mujer",44,"No","No",261.74,"R"
"Mujer",19,"No","No",98.85,"M"
"Mujer",61,"Si","Si",228.57,"R"
"Hombre",30,"Si","No",170.89,"A"
"Hombre",31,"No","No",194.88,"A"
"Mujer",44,"Si","Si",257.49,"R"
"Hombre",23,"Si","Si",154.52,"A"
"Hombre",67,"Si","No",171.14,"A"
"Hombre",55,"No","No",208.44,"R"
"Hombre",69,"No","No",167.31,"A"
"Mujer",62,"Si","No",221.48,"R"
"Hombre",23,"Si","Si",118.79,"V"
"Hombre",34,"No","No",199.15,"A"
"Mujer",65,"No","Si",201.04,"R"
"Hombre",42,"No","Si",219.99,"R"
"Hombre",40,"No","Si",218.47,"R"
"Hombre",65,"No","No",182.26,"A"
"Mujer",22,"Si","Si",128.42,"V"
"Mujer",29,"No","Si",194.29,"A"
"Mujer",46,"Si","Si",260.58,"R"
"Hombre",38,"No","No",210.45,"R"
"Hombre",42,"No","Si",216.06,"R"
"Mujer",52,"Si","No",256.15,"R"
"Hombre",66,"No","Si",173.9,"A"
"Mujer",38,"Si","No",245.11,"R"
"Mujer",65,"Si","Si",201.29,"R"
"Hombre",49,"No","No",239.17,"R"
"Hombre",18,"Si","Si",89.46,"M"
"Hombre",41,"No","No",225.76,"R"
"Hombre",46,"Si","No",223.79,"R"
"Mujer",67,"Si","Si",182.88,"A"
"Mujer",51,"Si","No",259.33,"R"
"Hombre",65,"No","No",201.07,"R"
"Hombre",28,"No","No",161,"A"
"Hombre",65,"Si","No",201.46,"R"
"Mujer",46,"No","No",261.13,"R"
"Hombre",63,"Si","Si",214.65,"R"
"Mujer",34,"Si","Si",225.44,"R"
"Mujer",44,"Si","Si",260.55,"R"
"Hombre",50,"No","No",215.3,"R"
"Mujer",70,"No","Si",163.25,"A"
