Género;Edad;¿Paga en efectivo?;¿Compra on-line?;Gasto medio mensual
Mujer;58;Si;Si;239,34
Hombre;39;Si;No;211,59
Mujer;67;No;Si;179,58
Hombre;60;No;No;205,22
Hombre;19;Si;No;97,4
Hombre;54;No;No;224,71
Mujer;68;Si;Si;177,27
Mujer;27;No;No;175,96
Mujer;55;Si;No;251,06
Hombre;51;Si;Si;220,43
Mujer;59;Si;No;231,67
Mujer;54;Si;No;254,06
Mujer;18;No;No;86,44
Hombre;50;No;No;213,16
Mujer;64;Si;Si;206,19
Mujer;51;Si;Si;261,02
Hombre;33;No;No;199,64
Mujer;55;No;Si;250,68
Mujer;49;No;Si;257,46
Hombre;65;No;No;206,67
Mujer;22;Si;Si;131,79
Hombre;45;No;No;216,76
Hombre;65;Si;Si;186,7
Mujer;60;No;No;233,35
Hombre;33;No;Si;200,53
Mujer;28;No;No;185,49
Hombre;42;Si;No;224,51
Hombre;65;No;No;205,58
Hombre;69;No;Si;172,05
Hombre;47;Si;Si;220,13
Hombre;53;Si;Si;218,89
Hombre;30;Si;No;183,43
Mujer;57;Si;No;244,05
Hombre;33;No;No;189,44
Mujer;19;Si;Si;97,56
Hombre;30;Si;Si;180,52
Mujer;19;No;No;99,14
Hombre;37;No;Si;215,47
Mujer;31;No;Si;209,43
Hombre;59;Si;Si;207,81
Mujer;21;Si;Si;120,75
Mujer;44;No;Si;256,87
Hombre;18;No;No;93,75
Mujer;20;Si;Si;108,89
Mujer;67;No;No;186,5
Mujer;54;No;Si;246,36
Mujer;66;Si;No;191,56
Mujer;19;Si;Si;99,07
Hombre;54;No;No;227,27
Mujer;38;No;Si;243,82
Mujer;27;No;No;175,1
Mujer;65;Si;Si;199,24
Mujer;66;No;No;191,08
Hombre;30;No;No;172,66
Hombre;43;Si;Si;217,71
Mujer;31;No;Si;206,7
Mujer;39;Si;Si;248,74
Hombre;27;No;No;160,78
Hombre;30;No;Si;175,14
Hombre;28;Si;Si;162,16
Mujer;56;No;Si;244,62
Mujer;49;No;No;263,41
Mujer;69;Si;No;168,02
Mujer;32;No;No;211,61
Mujer;25;No;No;162,71
Hombre;25;Si;Si;151,95
Mujer;66;Si;No;192,25
Hombre;50;No;No;223,51
Hombre;36;No;Si;201,77
Mujer;49;No;No;259,06
Hombre;60;No;Si;201,21
Mujer;26;Si;No;168,77
Mujer;25;Si;Si;154,66
Hombre;37;No;No;201,67
Mujer;51;No;Si;258,24
Mujer;32;Si;Si;210,57
Hombre;20;No;No;111,4
Mujer;50;No;No;263,25
Hombre;65;Si;No;200,84
Mujer;35;No;No;231,52
Mujer;45;Si;Si;257,44
Hombre;41;Si;Si;230,19
Hombre;35;Si;Si;198,56
Hombre;25;No;Si;146,48
Mujer;19;Si;No;100,3
Mujer;34;Si;Si;224
Mujer;35;Si;No;231,79
Hombre;39;No;No;204,55
Mujer;23;Si;No;139,1
Hombre;28;Si;Si;161,51
Hombre;41;Si;No;213,05
Mujer;39;Si;Si;249,98
Hombre;55;No;No;232,21
Mujer;58;Si;No;238,41
Hombre;28;No;Si;178,69
Mujer;39;Si;Si;246,52
Hombre;65;No;No;181,67
Mujer;69;No;No;166,31
Mujer;45;No;Si;258,13
Mujer;27;Si;No;176,21
Mujer;47;No;No;261,93
Mujer;68;Si;No;174,24
Mujer;22;Si;Si;131,17
Mujer;21;Si;Si;125,83
Hombre;26;No;No;156,05
Mujer;69;Si;Si;168,64
Mujer;54;No;No;250,84
Mujer;49;Si;Si;260,08
Hombre;39;Si;Si;201,3
Hombre;24;No;No;130,97
Hombre;59;Si;Si;203,01
Hombre;67;Si;No;170,1
Mujer;24;Si;Si;150,02
Hombre;22;No;Si;109,86
Mujer;31;Si;Si;202,62
Mujer;20;No;Si;111,82
Hombre;62;Si;No;198,61
Mujer;46;Si;Si;260,29
Mujer;22;Si;Si;127,46
Mujer;69;Si;Si;169,61
Hombre;40;No;No;191,77
Hombre;43;Si;Si;227,24
Mujer;70;Si;Si;157,78
Hombre;57;No;No;215,71
Hombre;36;No;Si;202,7
Hombre;50;No;Si;225,14
Mujer;44;Si;No;261,8
Hombre;65;No;Si;188,42
Hombre;44;Si;Si;214,18
Mujer;45;No;Si;260,28
Hombre;23;No;Si;126,48
Hombre;65;Si;Si;177,86
Mujer;42;Si;Si;255,04
Mujer;35;Si;No;232,45
Hombre;67;Si;Si;183,44
Hombre;37;No;No;189,37
Mujer;18;Si;Si;86,85
Hombre;57;No;No;210,04
Mujer;65;Si;No;199,44
Mujer;59;Si;No;233,77
Hombre;24;No;Si;134,94
Mujer;67;Si;Si;187,48
Mujer;33;Si;Si;220,67
Hombre;42;No;Si;217,84
Mujer;54;Si;Si;251,38
Mujer;20;No;Si;109,15
Mujer;22;Si;No;132,61
Hombre;42;No;No;220,64
Hombre;41;Si;Si;216,4
Mujer;67;Si;No;186,19
Hombre;19;Si;Si;96,03
Mujer;43;No;Si;257,23
Hombre;30;Si;No;178,4
Hombre;43;Si;Si;238,44
Mujer;41;Si;Si;250,72
Hombre;37;Si;No;206,83
Mujer;64;No;No;208,19
Hombre;56;Si;No;206,59
Hombre;66;Si;No;172,31
Mujer;46;Si;No;261,94
Mujer;42;Si;Si;255,07
Hombre;70;No;Si;155,25
Mujer;49;Si;Si;261,68
Hombre;38;No;Si;200,88
Mujer;30;No;Si;197,55
Hombre;36;Si;Si;214,63
Hombre;25;No;No;131,25
Hombre;28;Si;No;163,56
Hombre;66;No;Si;187,23
Hombre;57;Si;Si;215,95
Hombre;52;No;Si;221,71
Mujer;40;No;Si;250,5
Mujer;60;No;No;229,91
Hombre;41;No;Si;225,97
Mujer;70;No;Si;161,48
Hombre;49;No;Si;229,42
Mujer;62;No;Si;221,35
Mujer;21;Si;Si;120,49
Mujer;38;Si;Si;241,94
Mujer;44;Si;Si;261,19
Hombre;45;No;No;212,95
Mujer;70;Si;No;162,07
Hombre;36;No;No;192,25
Hombre;70;No;Si;164,69
Mujer;52;Si;No;257,27
Mujer;43;No;No;260,73
Hombre;50;No;No;227,24
Hombre;20;No;No;104,84
Hombre;58;Si;No;220,25
Hombre;18;Si;No;104,39
Hombre;56;No;No;216,25
Mujer;23;Si;Si;143,17
Hombre;54;No;No;204,46
Mujer;42;No;Si;255,17
Mujer;49;Si;Si;264,26
Mujer;42;No;Si;256,96
Mujer;68;Si;No;177,21
Hombre;44;No;No;234,53
Mujer;57;Si;Si;243,08
Hombre;51;No;No;221,24
Mujer;61;Si;Si;226,71
Mujer;36;Si;No;238,45
Hombre;34;Si;Si;191,8
Hombre;57;Si;No;210,82
Mujer;47;Si;No;256,87
Mujer;51;No;No;260,49
Mujer;60;Si;Si;232,03
Mujer;67;No;Si;189,52
Hombre;20;No;Si;99,15
Mujer;25;Si;No;160,54
Mujer;57;Si;Si;240,79
Hombre;62;Si;Si;196,7
Mujer;53;No;Si;252,74
Hombre;62;Si;Si;200,51
Mujer;22;Si;No;134,01
Mujer;43;No;Si;259,03
Mujer;48;Si;Si;261,62
Hombre;37;No;No;204,29
Mujer;52;Si;Si;255,14
Hombre;46;Si;No;230,46
Hombre;50;No;Si;233,01
Hombre;69;Si;No;158,84
Mujer;48;No;Si;259,93
Mujer;35;Si;No;228,83
Hombre;23;Si;No;141,53
Hombre;32;No;Si;190,87
Mujer;18;Si;Si;88,44
Hombre;30;No;Si;173,77
Mujer;28;Si;No;185,86
Mujer;24;Si;No;152,04
Mujer;42;No;Si;252,6
Hombre;28;No;Si;168,04
Mujer;36;No;Si;238,66
Mujer;61;No;No;223,6
Hombre;65;No;Si;192,86
Mujer;39;Si;Si;247,74
Hombre;70;Si;Si;167,49
Mujer;31;No;Si;204,12
Hombre;69;Si;Si;148,24
Mujer;42;Si;Si;258,55
Mujer;39;Si;Si;244,96
Mujer;47;Si;Si;261,09
Hombre;41;No;Si;214,77
Mujer;65;Si;No;199,29
Hombre;29;Si;Si;180,76
Mujer;66;No;Si;194,17
Mujer;42;No;No;254,19
Hombre;19;Si;No;83,57
Mujer;25;Si;No;161,19
Mujer;29;Si;Si;195,04
Hombre;46;No;No;219,3
Hombre;55;No;No;212,29
Hombre;70;Si;No;154,25
Hombre;69;No;No;169,65
Mujer;54;Si;Si;249,91
Hombre;46;No;Si;230,95
Mujer;28;Si;Si;183
Hombre;31;Si;Si;188,53
Hombre;43;Si;Si;212,78
Hombre;69;Si;Si;152,8
Hombre;56;Si;Si;219,5
Hombre;38;No;No;209,85
Mujer;38;Si;No;244,03
Hombre;60;Si;No;206,4
Hombre;52;No;Si;222,48
Hombre;64;Si;Si;190,92
Hombre;60;Si;No;216,09
Hombre;49;No;Si;226,48
Hombre;59;No;No;207,51
Hombre;27;Si;No;169,43
Hombre;33;No;Si;189,72
Hombre;63;No;No;206,69
Mujer;33;Si;Si;219,56
Mujer;42;No;Si;253,94
Mujer;45;No;No;263,14
Mujer;70;Si;Si;158,58
Mujer;69;Si;No;169,91
Mujer;54;No;No;254,92
Mujer;40;Si;Si;252,08
Mujer;49;Si;Si;261,07
Hombre;45;Si;No;219,13
Hombre;41;Si;Si;218,98
Hombre;33;No;Si;195,9
Hombre;49;Si;Si;233,44
Mujer;42;Si;Si;255,27
Mujer;57;Si;Si;245,01
Mujer;30;Si;No;200,17
Mujer;18;Si;Si;84,59
Hombre;26;Si;No;147,75
Hombre;44;Si;No;230,03
Mujer;38;Si;Si;243,88
Mujer;57;Si;No;239,32
Hombre;49;No;No;227,77
Hombre;58;Si;No;212,97
Mujer;58;No;No;241,66
Mujer;29;Si;Si;193,69
Hombre;64;Si;Si;186,74
Mujer;21;Si;Si;120,83
Mujer;29;Si;No;199,08
Mujer;21;Si;Si;122,55
Mujer;70;Si;No;160,57
Mujer;38;No;No;244,67
Mujer;45;Si;Si;255,58
Mujer;34;No;No;224,66
Mujer;23;No;No;144,77
Hombre;68;No;No;162,57
Hombre;33;Si;Si;187,66
Mujer;50;Si;No;259,61
Hombre;32;Si;Si;190,99
Mujer;62;Si;No;220,73
Hombre;19;No;No;88,73
Mujer;39;Si;Si;243,42
Mujer;58;Si;Si;237
Hombre;49;No;Si;226,62
Mujer;45;Si;No;260,86
Hombre;34;Si;No;199,37
Mujer;34;Si;Si;226,3
Mujer;69;Si;Si;167,13
Hombre;48;No;No;219,8
Mujer;69;Si;No;171,43
Mujer;60;No;Si;227,81
Hombre;27;No;No;165,46
Mujer;32;Si;Si;212,31
Hombre;28;No;No;168,32
Hombre;43;Si;No;211,14
Mujer;67;Si;Si;182,08
Mujer;35;No;Si;233,14
Mujer;61;Si;Si;222,97
Mujer;29;Si;No;192,88
Hombre;64;No;No;158,57
Mujer;35;No;No;229,66
Hombre;65;Si;No;185,11
Hombre;59;Si;Si;212,89
Hombre;31;No;Si;177,98
Mujer;58;Si;No;241,65
Mujer;30;Si;Si;196,32
Hombre;54;Si;No;223,5
Hombre;48;No;Si;225,97
Mujer;54;No;No;250,87
Mujer;21;Si;Si;119,8
Hombre;37;No;No;211,49
Mujer;19;Si;Si;97,23
Hombre;33;Si;Si;186,02
Mujer;45;No;No;258,5
Mujer;26;Si;Si;167,78
Hombre;68;Si;No;175,64
Hombre;59;No;Si;203,33
Hombre;41;No;No;225,54
Mujer;55;Si;Si;250,12
Hombre;56;No;Si;222,61
Hombre;70;Si;Si;160,95
Mujer;44;Si;No;259,7
Hombre;63;Si;Si;191,78
Hombre;28;No;No;161,35
Hombre;24;No;No;134,11
Mujer;55;Si;No;249,86
Mujer;35;Si;No;229,68
Hombre;41;Si;Si;224,1
Mujer;44;No;No;261,74
Mujer;19;No;No;98,85
Mujer;61;Si;Si;228,57
Hombre;30;Si;No;170,89
Hombre;31;No;No;194,88
Mujer;44;Si;Si;257,49
Hombre;23;Si;Si;154,52
Hombre;67;Si;No;171,14
Hombre;55;No;No;208,44
Hombre;69;No;No;167,31
Mujer;62;Si;No;221,48
Hombre;23;Si;Si;118,79
Hombre;34;No;No;199,15
Mujer;65;No;Si;201,04
Hombre;42;No;Si;219,99
Hombre;40;No;Si;218,47
Hombre;65;No;No;182,26
Mujer;22;Si;Si;128,42
Mujer;29;No;Si;194,29
Mujer;46;Si;Si;260,58
Hombre;38;No;No;210,45
Hombre;42;No;Si;216,06
Mujer;52;Si;No;256,15
Hombre;66;No;Si;173,9
Mujer;38;Si;No;245,11
Mujer;65;Si;Si;201,29
Hombre;49;No;No;239,17
Hombre;18;Si;Si;89,46
Hombre;41;No;No;225,76
Hombre;46;Si;No;223,79
Mujer;67;Si;Si;182,88
Mujer;51;Si;No;259,33
Hombre;65;No;No;201,07
Hombre;28;No;No;161
Hombre;65;Si;No;201,46
Mujer;46;No;No;261,13
Hombre;63;Si;Si;214,65
Mujer;34;Si;Si;225,44
Mujer;44;Si;Si;260,55
Hombre;50;No;No;215,3
Mujer;70;No;Si;163,25
Mujer;59;Si;No;236,56
Hombre;19;Si;Si;101,89
Hombre;65;Si;Si;179,93
Hombre;34;No;No;192,85
Hombre;38;Si;Si;217,38
Hombre;61;Si;Si;194,37
Hombre;66;Si;Si;182,12
Mujer;21;No;No;122,26
Mujer;45;Si;No;261,13
Hombre;29;No;No;168,39
Mujer;61;No;Si;226,47
Hombre;44;No;No;219,91
Hombre;59;No;No;202,92
Hombre;55;Si;Si;228,64
Mujer;59;Si;Si;234,79
Hombre;19;No;Si;90,33
Mujer;51;Si;Si;261,71
Hombre;52;No;No;236,48
Mujer;38;Si;Si;243,32
Hombre;62;Si;Si;206,57
Hombre;34;Si;No;191,79
Mujer;29;Si;No;196,64
Mujer;32;No;No;218,21
Mujer;23;No;Si;139,13
Mujer;38;Si;Si;247,33
Mujer;41;Si;Si;249,64
Hombre;36;Si;No;190,48
Mujer;22;Si;Si;135,56
Hombre;28;Si;Si;167,1
Hombre;47;Si;Si;230,71
Hombre;19;Si;No;103,29
Hombre;65;Si;No;186,62
Hombre;20;Si;No;96,36
Hombre;49;Si;Si;216,31
Hombre;33;No;Si;195,07
Mujer;33;Si;No;221,44
Mujer;60;Si;No;229,45
Mujer;19;Si;Si;99,78
Mujer;47;Si;Si;263,09
Mujer;56;Si;No;244,69
Hombre;44;No;No;213,41
Mujer;40;No;No;252,6
Hombre;25;No;Si;135,2
Hombre;30;No;Si;171,33
Hombre;43;No;Si;224,93
Hombre;42;No;No;232,74
Hombre;66;Si;No;187,48
Hombre;32;No;Si;197,39
Hombre;54;No;Si;231,86
Mujer;53;No;No;255,11
Mujer;30;No;Si;201,29
Mujer;44;No;Si;258,62
Mujer;33;No;Si;220,07
Mujer;39;No;No;245,77
Mujer;63;No;Si;214,17
Hombre;35;Si;Si;209,53
Hombre;37;No;Si;215,72
Mujer;49;Si;No;261,2
Hombre;23;No;No;121,73
Hombre;35;No;Si;208,36
Mujer;22;No;No;132,55
Hombre;58;Si;Si;205,58
Mujer;64;Si;No;206,64
Mujer;25;No;No;158,94
Mujer;64;No;No;208,09
Mujer;24;Si;Si;150,47
Hombre;29;No;Si;166,88
Mujer;18;Si;Si;87,02
Hombre;31;No;No;179,4
Hombre;40;No;No;210,71
Hombre;18;No;No;99,68
Mujer;66;No;Si;196,36
Mujer;35;Si;Si;226,16
Hombre;60;No;Si;211,39
Mujer;33;Si;Si;220,71
Hombre;55;Si;Si;223,27
Hombre;33;No;Si;187,71
Mujer;44;Si;Si;257,82
Mujer;57;No;Si;241,19
Hombre;59;No;No;210,6
Mujer;55;Si;Si;250,34
Mujer;59;Si;Si;233,24
Hombre;68;No;No;168,98
Hombre;44;No;Si;219,17
Mujer;52;No;No;257,55
Mujer;34;No;Si;223,81
Hombre;54;No;No;230,26
Mujer;49;No;No;260,77
Hombre;21;No;Si;116,11
Mujer;22;No;No;127,34
Mujer;68;No;Si;180,65
Mujer;54;No;Si;253,12
Hombre;29;No;No;171,75
Hombre;44;No;No;220,9
Mujer;62;No;No;221,43
Hombre;52;No;Si;226,04
Mujer;64;No;No;208,29
Mujer;37;Si;Si;238,76
Mujer;61;Si;Si;223,06
Mujer;58;Si;Si;239,12
Hombre;70;No;Si;155,18
Mujer;50;Si;No;261,43
Mujer;70;Si;No;160,6
Hombre;25;Si;Si;160,16
Hombre;51;No;No;215,15
Mujer;41;No;No;253,83
Mujer;25;No;Si;159,7
Hombre;67;Si;No;169,02
Hombre;54;Si;No;218,07
Mujer;54;No;No;255,59
Mujer;57;Si;Si;240,9
Mujer;66;No;No;192,44
Hombre;61;No;Si;211,33
Hombre;28;No;Si;169,32
Hombre;61;No;No;200,15
Hombre;18;Si;No;86,87
Mujer;27;Si;No;179,03
Hombre;55;Si;Si;224,05
Mujer;34;Si;No;223,71
Mujer;58;Si;No;240,37
Mujer;57;No;No;242,51
Hombre;29;No;Si;168,37
Hombre;54;No;Si;222,37
Hombre;30;No;No;177,79
Mujer;60;Si;No;231,3
Mujer;48;Si;No;262,18
Hombre;19;Si;No;96,87
Mujer;55;Si;Si;251,85
Hombre;70;Si;Si;146,65
Mujer;47;No;Si;262,2
Mujer;58;Si;No;239,91
Mujer;68;Si;No;177,19
Hombre;61;No;No;188,93
Hombre;19;Si;Si;102,42
Mujer;36;No;No;233,25
Hombre;20;Si;Si;105,49
Mujer;40;Si;Si;251,39
Hombre;32;No;Si;190,6
Hombre;31;No;No;185,07
Mujer;31;No;Si;205
Mujer;64;No;Si;202,56
Mujer;69;Si;No;169,08
Hombre;31;Si;Si;172,07
Hombre;43;No;Si;221,61
Mujer;40;No;No;252,28
Mujer;40;Si;No;250,44
Hombre;25;No;No;137,78
Mujer;52;Si;No;257,38
Hombre;70;No;No;156,33
Mujer;41;Si;No;251,22
Mujer;63;Si;Si;213,32
Mujer;32;Si;Si;212,95
Mujer;66;Si;Si;195,43
Mujer;53;Si;No;256,56
Hombre;40;Si;Si;210,22
Mujer;46;Si;No;265,32
Mujer;68;No;Si;179,21
Hombre;61;Si;No;212,78
Mujer;35;Si;Si;230,2
Hombre;25;No;Si;145,21
Mujer;19;No;No;98,04
Hombre;42;No;No;220,41
Hombre;27;No;Si;161,65
Mujer;41;Si;Si;252,94
Hombre;54;Si;Si;220,42
Hombre;27;Si;Si;156,21
Hombre;55;Si;Si;216,3
Mujer;20;Si;Si;109,59
Hombre;47;Si;Si;227,39
Mujer;64;Si;Si;206,18
Mujer;48;Si;Si;261,1
Mujer;66;Si;Si;193,89
Mujer;49;Si;Si;263,13
Hombre;56;No;Si;225,96
Mujer;54;Si;Si;251,88
Mujer;22;No;No;132,11
Hombre;58;No;No;213,08
Hombre;20;Si;Si;109,41
Hombre;29;Si;No;164,25
Mujer;45;No;Si;257,46
Mujer;30;No;Si;200,57
Mujer;23;Si;Si;141,56
Mujer;34;Si;Si;223,26
Hombre;33;No;Si;193,37
Hombre;56;No;Si;233,31
Hombre;22;No;No;110,91
Hombre;24;Si;Si;150,05
Mujer;35;Si;Si;228,4
Hombre;69;Si;No;168,39
Mujer;21;Si;Si;123,69
Hombre;27;Si;No;155,21
Hombre;30;No;Si;187,62
Mujer;49;Si;No;267,6
Hombre;46;No;No;231,43
Mujer;50;No;Si;260,77
Hombre;32;No;Si;192,71
Mujer;39;Si;Si;245,72
Mujer;43;Si;Si;258,98
Mujer;28;No;No;187,68
Mujer;51;Si;Si;257,93
Hombre;52;Si;No;231,11
Mujer;33;No;Si;219
Mujer;47;No;Si;260,63
Mujer;37;Si;No;235,97
Mujer;37;No;Si;238,75
Mujer;24;No;No;150,04
Hombre;54;No;No;218,74
Hombre;68;Si;Si;170,75
Hombre;43;Si;Si;221,9
Mujer;53;No;No;249,92
Mujer;60;No;No;225,1
Hombre;50;Si;Si;225,07
Hombre;60;Si;Si;191,71
Mujer;40;Si;Si;252,35
Mujer;64;Si;Si;204,92
Hombre;70;No;No;151
Hombre;35;Si;Si;208,04
Hombre;63;No;Si;199,26
Mujer;22;Si;No;133,07
Hombre;65;No;No;171,41
Hombre;50;Si;Si;232,71
Mujer;62;Si;Si;219,27
Hombre;70;No;No;157,39
Mujer;60;Si;No;230,46
Hombre;63;No;No;205,29
Mujer;18;Si;Si;86,44
Mujer;18;No;No;87,66
Hombre;40;Si;Si;210,93
Hombre;29;No;Si;178,82
Hombre;38;No;Si;225
Hombre;46;No;Si;214,52
Mujer;61;Si;No;226,02
Mujer;52;Si;No;258,97
Hombre;35;No;Si;203,93
Hombre;65;No;Si;182,46
Mujer;20;Si;No;112,03
Hombre;60;No;No;203,3
Hombre;51;Si;No;225,05
Hombre;36;Si;No;192,85
Mujer;28;Si;Si;183,56
Mujer;39;Si;No;247,52
Hombre;22;Si;No;124,78
Mujer;68;No;No;175,88
Hombre;18;Si;No;89,43
Hombre;51;No;No;225,61
Hombre;40;Si;Si;220,57
Mujer;65;No;No;200,95
Mujer;24;Si;No;151,1
Mujer;22;No;Si;132,61
Hombre;35;No;No;210,16
Mujer;28;No;No;183,35
Mujer;43;Si;Si;261,08
Mujer;35;No;Si;225,93
Mujer;37;No;No;242,23
Mujer;55;Si;No;248,69
Hombre;24;No;No;127,36
Hombre;45;No;Si;223,17
Hombre;38;No;No;199,07
Mujer;18;No;Si;83,68
Hombre;28;Si;No;172,55
Mujer;29;Si;No;193,01
Hombre;18;No;Si;82,84
Mujer;34;No;Si;222,2
Mujer;69;Si;Si;167,23
Hombre;66;Si;Si;189,95
Mujer;56;Si;No;246,88
Hombre;36;No;Si;207,28
Hombre;68;Si;Si;164,69
Hombre;58;No;No;226,27
Hombre;42;No;No;236,39
Hombre;55;No;No;220,55
Mujer;61;Si;Si;227,54
Mujer;29;No;No;197,99
Mujer;41;No;Si;253,08
Mujer;62;No;Si;218,96
Hombre;50;No;Si;212,29
Hombre;27;Si;No;146,04
Mujer;34;Si;Si;226,43
Mujer;40;No;Si;248,37
Mujer;67;Si;Si;186,49
Mujer;42;Si;Si;257,89
Hombre;28;No;No;171,65
Mujer;70;Si;Si;158,82
Hombre;33;Si;Si;197,11
Mujer;35;Si;No;231,22
Hombre;23;No;Si;142,35
Mujer;55;Si;Si;249,01
Hombre;65;Si;Si;175,59
Mujer;31;Si;Si;206,9
Mujer;53;Si;No;253,51
Hombre;58;Si;Si;208,23
Mujer;60;Si;Si;232,81
Hombre;46;Si;Si;234,62
Mujer;52;Si;No;258,87
Mujer;70;Si;Si;160,82
Hombre;67;No;No;177,33
Mujer;30;Si;Si;197
Mujer;68;No;Si;177,42
Hombre;48;Si;Si;223,56
Mujer;37;No;No;237,14
Hombre;66;No;Si;189,69
Mujer;38;Si;No;240,57
Mujer;21;No;No;118,86
Mujer;25;Si;Si;161,41
Hombre;20;Si;Si;108,41
Hombre;68;No;No;163,46
Hombre;56;No;Si;218,36
Mujer;57;Si;Si;241,16
Hombre;23;No;Si;117,06
Hombre;43;No;Si;230,02
Mujer;24;Si;Si;151,62
Mujer;24;No;Si;152,57
Mujer;22;Si;Si;128,76
Mujer;46;Si;Si;262,98
Mujer;67;Si;Si;186,74
Mujer;57;Si;No;242,33
Hombre;43;No;Si;224,11
Hombre;33;No;No;190,02
Mujer;62;Si;Si;215,71
Hombre;62;Si;Si;194,61
Hombre;55;No;Si;223,18
Hombre;21;Si;Si;115,74
Hombre;46;No;Si;234,77
Mujer;23;No;No;137,64
Hombre;45;Si;Si;233,54
Mujer;55;Si;Si;249,85
Mujer;20;Si;No;113,14
Mujer;68;No;Si;175,56
Hombre;61;No;Si;195,62
Hombre;38;No;No;213,6
Mujer;44;Si;No;259,2
Hombre;54;Si;No;227,94
Hombre;50;No;Si;241,46
Hombre;67;No;Si;175,9
Mujer;46;Si;Si;261,55
Mujer;18;Si;Si;85,64
Hombre;61;Si;No;202,84
Hombre;29;Si;Si;172,74
Mujer;51;No;No;259,65
Mujer;40;Si;Si;250,41
Mujer;65;Si;No;202,5
Hombre;20;No;Si;90,43
Mujer;25;Si;No;162,21
Mujer;57;Si;Si;242,8
Mujer;47;Si;No;263,06
Hombre;57;No;Si;204,06
Hombre;39;Si;No;226,01
Hombre;49;No;No;222,38
Hombre;58;No;No;221,97
Mujer;65;Si;No;198,82
Mujer;22;Si;Si;131,86
Mujer;68;No;No;176,2
Mujer;60;Si;No;236,7
Mujer;25;Si;No;157,61
Mujer;57;Si;Si;242,01
Mujer;44;Si;No;260,79
Mujer;20;No;Si;107,98
Mujer;30;Si;Si;199,42
Mujer;60;Si;Si;233,08
Hombre;23;No;No;135,2
Hombre;62;No;No;203,86
Mujer;36;Si;No;237,35
Mujer;46;Si;No;261,57
Hombre;24;No;No;142,13
Mujer;46;No;Si;264,38
Mujer;24;No;Si;151,28
Mujer;44;No;Si;258,27
Hombre;33;No;No;197,89
Hombre;43;No;No;215,53
Hombre;34;No;No;209,7
Hombre;21;Si;Si;112,41
Mujer;37;Si;Si;241,75
Mujer;19;No;No;96,24
Hombre;59;Si;No;205,64
Mujer;67;No;Si;185,25
Mujer;54;No;No;254,06
Hombre;37;No;Si;212,03
Mujer;34;Si;No;220,33
Hombre;25;No;No;133,52
Hombre;62;No;No;192,1
Hombre;65;Si;Si;191,9
Mujer;57;No;Si;244,55
Hombre;44;No;Si;230,59
Mujer;61;No;Si;222,86
Mujer;59;Si;Si;235,41
Hombre;63;No;Si;183,19
Mujer;62;No;No;219,96
Hombre;27;No;No;160,59
Mujer;31;Si;Si;209,99
Hombre;20;Si;Si;117,5
Hombre;60;No;No;206,11
Mujer;44;No;No;259,38
Mujer;68;Si;Si;176,87
Hombre;38;No;No;213,76
Hombre;57;No;Si;219,06
Mujer;41;Si;No;251,79
Hombre;30;Si;Si;167,78
Mujer;41;Si;No;252,28
Hombre;31;No;Si;165,82
Hombre;47;No;No;219,63
Hombre;67;Si;Si;183,18
Mujer;49;No;Si;258,49
Hombre;24;Si;Si;136,54
Hombre;50;No;Si;221,32
Mujer;67;Si;Si;185,04
Hombre;69;No;No;151,28
Hombre;49;Si;No;226,65
Mujer;50;Si;Si;258,62
Mujer;53;Si;No;254,99
Hombre;53;Si;Si;225,6
Hombre;54;No;No;220,78
Hombre;44;Si;Si;222,14
Hombre;48;Si;No;226,57
Hombre;66;Si;No;179,69
Mujer;26;Si;Si;169
Mujer;56;Si;No;249,15
Mujer;32;Si;Si;211,54
Hombre;66;Si;Si;170
Hombre;30;Si;Si;176,04
Hombre;68;Si;Si;171,26
Mujer;34;Si;Si;227,13
Hombre;70;Si;Si;156,85
Mujer;49;Si;No;261,02
Mujer;59;Si;Si;233,4
Mujer;62;Si;Si;222,49
Hombre;55;Si;Si;217,23
Mujer;63;No;No;212,47
Hombre;34;Si;No;194,12
Hombre;21;Si;No;109,13
Mujer;38;No;Si;241,47
Mujer;33;Si;No;219,13
Mujer;19;Si;Si;94,29
Hombre;29;Si;Si;169,98
Hombre;30;Si;Si;180,51
Hombre;20;Si;Si;103,62
Mujer;55;No;Si;248,73
Mujer;29;No;Si;192,88
Hombre;46;Si;Si;222,45
Hombre;28;No;No;167,96
Mujer;43;Si;Si;260,24
Hombre;52;Si;No;230,75
Hombre;53;No;No;219,35
Mujer;56;No;Si;246,76
Mujer;37;Si;Si;237,95
Mujer;21;Si;Si;122,44
Mujer;51;No;Si;258,32
Hombre;45;No;No;219,53
Hombre;28;Si;No;175,46
Mujer;25;No;No;157,18
Mujer;39;No;No;247,04
Mujer;36;Si;Si;234,32
Hombre;69;Si;No;174,11
Mujer;27;Si;Si;177,86
Mujer;62;Si;Si;221,08
Hombre;53;Si;Si;234,99
Hombre;31;Si;Si;179,92
Hombre;53;Si;Si;229,23
Mujer;32;Si;No;209,98
Hombre;62;No;No;198,23
Hombre;66;No;No;181,51
Hombre;63;Si;Si;188,71
Hombre;43;No;Si;224,33
Hombre;69;Si;Si;168,42
Mujer;19;No;Si;97,77
Hombre;28;Si;No;154,49
Mujer;65;Si;Si;203,78
Hombre;30;Si;No;180,53
Mujer;22;No;No;129,4
Mujer;57;Si;Si;242,94
