id,Survived,Clase,Sexo,Edad,Parientes,Precio,Embarque
710,Si,3,male,29.6991176470588,2,15.2458,C
711,Si,1,female,24,0,49.5042,C
712,No,1,male,29.6991176470588,0,26.55,S
713,Si,1,male,48,1,52,S
714,No,3,male,29,0,9.4833,S
715,No,2,male,52,0,13,S
716,No,3,male,19,0,7.65,S
717,Si,1,female,38,0,227525,C
718,Si,2,female,27,0,10.5,S
719,No,3,male,29.6991176470588,0,15.5,Q
720,No,3,male,33,0,7775,S
721,Si,2,female,6,1,33,S
722,No,3,male,17,1,7.0542,S
723,No,2,male,34,0,13,S
724,No,2,male,50,0,13,S
725,Si,1,male,27,1,53.1,S
726,No,3,male,20,0,8.6625,S
727,Si,2,female,30,3,21,S
728,Si,3,female,29.6991176470588,0,7.7375,Q
729,No,2,male,25,1,26,S
730,No,3,female,25,1,7925,S
731,Si,1,female,29,0,211.3375,S
732,No,3,male,11,0,18.7875,C
733,No,2,male,29.6991176470588,0,0,S
734,No,2,male,23,0,13,S
735,No,2,male,23,0,13,S
736,No,3,male,28.5,0,16.1,S
737,No,3,female,48,4,34375,S
738,Si,1,male,35,0,512.3292,C
739,No,3,male,29.6991176470588,0,7.8958,S
740,No,3,male,29.6991176470588,0,7.8958,S
741,Si,1,male,29.6991176470588,0,30,S
742,No,1,male,36,1,78.85,S
743,Si,1,female,21,4,262375,C
744,No,3,male,24,1,16.1,S
745,Si,3,male,31,0,7925,S
746,No,1,male,70,2,71,S
747,No,3,male,16,2,20.25,S
748,Si,2,female,30,0,13,S
749,No,1,male,19,1,53.1,S
750,No,3,male,31,0,7.75,Q
751,Si,2,female,4,2,23,S
752,Si,3,male,6,1,12475,S
753,No,3,male,33,0,9.5,S
754,No,3,male,23,0,7.8958,S
755,Si,2,female,48,3,65,S
756,Si,2,male,0.67,2,14.5,S
757,No,3,male,28,0,7.7958,S
758,No,2,male,18,0,11.5,S
759,No,3,male,34,0,8.05,S
760,Si,1,female,33,0,86.5,S
761,No,3,male,29.6991176470588,0,14.5,S
762,No,3,male,41,0,7125,S
763,Si,3,male,20,0,7.2292,C
764,Si,1,female,36,3,120,S
765,No,3,male,16,0,7775,S
766,Si,1,female,51,1,77.9583,S
767,No,1,male,29.6991176470588,0,39.6,C
768,No,3,female,30.5,0,7.75,Q
769,No,3,male,29.6991176470588,1,24.15,Q
770,No,3,male,32,0,8.3625,S
771,No,3,male,24,0,9.5,S
772,No,3,male,48,0,7.8542,S
773,No,2,female,57,0,10.5,S
774,No,3,male,29.6991176470588,0,7225,C
775,Si,2,female,54,4,23,S
776,No,3,male,18,0,7.75,S
777,No,3,male,29.6991176470588,0,7.75,Q
778,Si,3,female,5,0,12475,S
779,No,3,male,29.6991176470588,0,7.7375,Q
780,Si,1,female,43,1,211.3375,S
781,Si,3,female,13,0,7.2292,C
782,Si,1,female,17,1,57,S
783,No,1,male,29,0,30,S
784,No,3,male,29.6991176470588,3,23.45,S
785,No,3,male,25,0,7.05,S
786,No,3,male,25,0,7.25,S
787,Si,3,female,18,0,7.4958,S
788,No,3,male,8,5,29125,Q
789,Si,3,male,1,3,20575,S
790,No,1,male,46,0,79.2,C
791,No,3,male,29.6991176470588,0,7.75,Q
792,No,2,male,16,0,26,S
793,No,3,female,29.6991176470588,10,69.55,S
794,No,1,male,29.6991176470588,0,30.6958,C
795,No,3,male,25,0,7.8958,S
796,No,2,male,39,0,13,S
797,Si,1,female,49,0,25.9292,S
798,Si,3,female,31,0,8.6833,S
799,No,3,male,30,0,7.2292,C
800,No,3,female,30,2,24.15,S
801,No,2,male,34,0,13,S
802,Si,2,female,31,2,26.25,S
803,Si,1,male,11,3,120,S
804,Si,3,male,0.42,1,8.5167,C
805,Si,3,male,27,0,6975,S
806,No,3,male,31,0,7775,S
807,No,1,male,39,0,0,S
808,No,3,female,18,0,7775,S
809,No,2,male,39,0,13,S
810,Si,1,female,33,1,53.1,S
811,No,3,male,26,0,7.8875,S
812,No,3,male,39,0,24.15,S
813,No,2,male,35,0,10.5,S
814,No,3,female,6,6,31275,S
815,No,3,male,30.5,0,8.05,S
816,No,1,male,29.6991176470588,0,0,S
817,No,3,female,23,0,7925,S
818,No,2,male,31,2,37.0042,C
819,No,3,male,43,0,6.45,S
820,No,3,male,10,5,27.9,S
821,Si,1,female,52,2,93.5,S
822,Si,3,male,27,0,8.6625,S
823,No,1,male,38,0,0,S
824,Si,3,female,27,1,12475,S
825,No,3,male,2,5,39.6875,S
826,No,3,male,29.6991176470588,0,6.95,Q
827,No,3,male,29.6991176470588,0,56.4958,S
828,Si,2,male,1,2,37.0042,C
829,Si,3,male,29.6991176470588,0,7.75,Q
830,Si,1,female,62,0,80,
831,Si,3,female,15,1,14.4542,C
832,Si,2,male,0.83,2,18.75,S
833,No,3,male,29.6991176470588,0,7.2292,C
834,No,3,male,23,0,7.8542,S
835,No,3,male,18,0,8.3,S
836,Si,1,female,39,2,83.1583,C
837,No,3,male,21,0,8.6625,S
838,No,3,male,29.6991176470588,0,8.05,S
839,Si,3,male,32,0,56.4958,S
840,Si,1,male,29.6991176470588,0,29.7,C
841,No,3,male,20,0,7925,S
842,No,2,male,16,0,10.5,S
843,Si,1,female,30,0,31,C
844,No,3,male,34.5,0,6.4375,C
845,No,3,male,17,0,8.6625,S
846,No,3,male,42,0,7.55,S
847,No,3,male,29.6991176470588,10,69.55,S
848,No,3,male,35,0,7.8958,C
849,No,2,male,28,1,33,S
850,Si,1,female,29.6991176470588,1,89.1042,C
851,No,3,male,4,6,31275,S
852,No,3,male,74,0,7775,S
853,No,3,female,9,2,15.2458,C
854,Si,1,female,16,1,39.4,S
855,No,2,female,44,1,26,S
856,Si,3,female,18,1,9.35,S
857,Si,1,female,45,2,164.8667,S
858,Si,1,male,51,0,26.55,S
859,Si,3,female,24,3,19.2583,C
860,No,3,male,29.6991176470588,0,7.2292,C
861,No,3,male,41,2,14.1083,S
862,No,2,male,21,1,11.5,S
863,Si,1,female,48,0,25.9292,S
864,No,3,female,29.6991176470588,10,69.55,S
865,No,2,male,24,0,13,S
866,Si,2,female,42,0,13,S
867,Si,2,female,27,1,13.8583,C
868,No,1,male,31,0,50.4958,S
869,No,3,male,29.6991176470588,0,9.5,S
870,Si,3,male,4,2,11.1333,S
871,No,3,male,26,0,7.8958,S
872,Si,1,female,47,2,52.5542,S
873,No,1,male,33,0,5,S
874,No,3,male,47,0,9,S
875,Si,2,female,28,1,24,C
876,Si,3,female,15,0,7225,C
877,No,3,male,20,0,9.8458,S
878,No,3,male,19,0,7.8958,S
879,No,3,male,29.6991176470588,0,7.8958,S
880,Si,1,female,56,1,83.1583,C
881,Si,2,female,25,1,26,S
882,No,3,male,33,0,7.8958,S
883,No,3,female,22,0,10.5167,S
884,No,2,male,28,0,10.5,S
885,No,3,male,25,0,7.05,S
886,No,3,female,39,5,29125,Q
887,No,2,male,27,0,13,S
888,Si,1,female,19,0,30,S
889,No,3,female,29.6991176470588,3,23.45,S
890,Si,1,male,26,0,30,C
891,No,3,male,32,0,7.75,Q
