Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.8 Quebrantamiento de condena;;2016;613
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.8 Quebrantamiento de condena;;2015;446
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.8 Quebrantamiento de condena;;2014;464
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.8 Quebrantamiento de condena;;2013;416
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2020;12
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2019;22
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2018;12
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2017;22
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2016;25
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2015;24
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2014;34
Total Nacional;04 Balears, Illes;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2013;18
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2020;285
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2019;424
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2018;345
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2017;341
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2016;362
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2015;324
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2014;334
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;;;2013;212
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2020;266
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2019;357
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2018;297
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2017;290
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2016;303
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2015;222
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2014;315
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2013;197
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2020;73
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2019;135
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2018;112
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2017;92
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2016;101
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2015;83
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2014;116
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2013;91
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2020;193
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2019;222
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2018;185
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2017;198
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2016;202
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2015;139
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2014;199
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2013;106
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2020;19
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2019;67
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2018;48
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2017;51
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2016;59
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2015;102
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2014;19
Total Nacional;04 Balears, Illes;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2013;15
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2020;130
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2019;133
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2018;140
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2017;195
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2016;164
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2015;202
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2014;198
Total Nacional;04 Balears, Illes;A Total Delitos;R Resto de delitos;;;2013;129
Total Nacional;05 Canarias;A Total Delitos;;;;2020;16689
Total Nacional;05 Canarias;A Total Delitos;;;;2019;21082
Total Nacional;05 Canarias;A Total Delitos;;;;2018;20943
Total Nacional;05 Canarias;A Total Delitos;;;;2017;20833
Total Nacional;05 Canarias;A Total Delitos;;;;2016;19977
Total Nacional;05 Canarias;A Total Delitos;;;;2015;16313
Total Nacional;05 Canarias;A Total Delitos;;;;2014;15699
Total Nacional;05 Canarias;A Total Delitos;;;;2013;14326
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2020;50
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2019;46
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2018;52
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2017;57
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2016;53
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2015;67
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2014;47
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;;;2013;92
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2020;14
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2019;12
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2018;14
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2017;21
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2016;15
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2015;24
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2014;20
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2013;20
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2020;8
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2019;11
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2018;9
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2017;12
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2016;8
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2015;21
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2014;9
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2013;25
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2020;28
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2019;23
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2018;29
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2017;24
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2016;30
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2015;22
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2014;18
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2013;47
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2020;0
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2019;0
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2018;0
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2017;0
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2016;0
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2015;""
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2014;""
Total Nacional;05 Canarias;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2013;0
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2020;3200
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2019;3963
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2018;4073
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2017;3787
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2016;3570
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2015;2575
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2014;2219
Total Nacional;05 Canarias;A Total Delitos;3 Lesiones;;;2013;1821
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2020;1721
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2019;1956
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2018;1927
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2017;1686
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2016;1457
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2015;898
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2014;693
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;;;2013;602
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2020;1397
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2019;1622
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2018;1615
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2017;1416
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2016;1228
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2015;743
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2014;583
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2013;508
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2020;324
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2019;334
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2018;312
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2017;270
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2016;229
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2015;155
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2014;110
Total Nacional;05 Canarias;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2013;94
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2020;780
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2019;800
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2018;829
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2017;799
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2016;682
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2015;381
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2014;170
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;;;2013;185
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2020;777
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2019;791
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2018;820
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2017;797
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2016;681
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2015;375
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2014;166
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2013;177
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2020;3
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2019;7
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2018;7
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2017;2
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2016;1
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2015;6
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2014;4
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2013;8
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2020;0
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2019;2
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2018;2
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2017;0
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2016;0
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2015;0
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2014;0
Total Nacional;05 Canarias;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2013;0
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2020;123
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2019;146
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2018;151
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2017;148
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2016;160
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2015;149
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2014;186
Total Nacional;05 Canarias;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2013;121
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2020;252
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2019;387
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2018;475
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2017;489
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2016;481
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2015;449
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2014;416
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;;;2013;417
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2020;252
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2019;387
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2018;475
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2017;489
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2016;481
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2015;449
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2014;416
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2013;416
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2020;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2019;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2018;2
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2017;6
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2016;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2015;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2014;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2013;2
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2020;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2019;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2018;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2017;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2016;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2015;1
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2014;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2013;2
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2020;251
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2019;385
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2018;472
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2017;483
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2016;479
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2015;447
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2014;415
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2013;412
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2020;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2019;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2018;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2017;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2016;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2015;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2014;0
Total Nacional;05 Canarias;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2013;1
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2020;4077
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2019;5652
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2018;5731
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2017;5851
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2016;5784
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2015;3983
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2014;3507
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2013;2918
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2020;1735
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2019;2400
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2018;2600
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2017;2452
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2016;2322
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2015;1074
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2014;722
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2013;565
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2020;869
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2019;1204
Total Nacional;05 Canarias;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2018;1185
