"id","Survived","Clase","Sexo","Edad","Parientes","Precio"
"724","No",2,"male",50,0,13
"725","Si",1,"male",27,1,130.982998141264
"726","No",3,"male",20,0,86.625
"727","Si",2,"female",30,3,21
"728","Si",3,"female",29,0,77.375
"729","No",2,"male",25,1,26
"730","No",3,"female",25,1,7.925
"731","Si",1,"female",29,0,130.982998141264
"732","No",3,"male",11,0,187.875
"733","No",2,"male",29,0,0
"734","No",2,"male",23,0,13
"735","No",2,"male",23,0,13
"736","No",3,"male",29,0,130.982998141264
"737","No",3,"female",48,4,34.375
"738","Si",1,"male",35,0,130.982998141264
"739","No",3,"male",29,0,78.958
"740","No",3,"male",29,0,78.958
"741","Si",1,"male",29,0,30
"742","No",1,"male",36,1,130.982998141264
"743","Si",1,"female",21,4,262.375
"744","No",3,"male",24,1,130.982998141264
"745","Si",3,"male",31,0,7.925
"746","No",1,"male",70,2,71
"747","No",3,"male",16,2,130.982998141264
"748","Si",2,"female",30,0,13
"749","No",1,"male",19,1,130.982998141264
"750","No",3,"male",31,0,130.982998141264
"751","Si",2,"female",4,2,23
"752","Si",3,"male",6,1,12.475
"753","No",3,"male",33,0,130.982998141264
"754","No",3,"male",23,0,78.958
"755","Si",2,"female",48,3,65
"756","Si",2,"male",29,2,130.982998141264
"757","No",3,"male",28,0,77.958
"758","No",2,"male",18,0,130.982998141264
"759","No",3,"male",34,0,130.982998141264
"760","Si",1,"female",33,0,130.982998141264
"761","No",3,"male",29,0,130.982998141264
"762","No",3,"male",41,0,7.125
"763","Si",3,"male",20,0,72.292
"764","Si",1,"female",36,3,120
"765","No",3,"male",16,0,7.775
"766","Si",1,"female",51,1,779.583
"767","No",1,"male",29,0,130.982998141264
"768","No",3,"female",29,0,130.982998141264
"769","No",3,"male",29,1,130.982998141264
"770","No",3,"male",32,0,83.625
"771","No",3,"male",24,0,130.982998141264
"772","No",3,"male",48,0,78.542
"773","No",2,"female",57,0,130.982998141264
"774","No",3,"male",29,0,7.225
"775","Si",2,"female",54,4,23
"776","No",3,"male",18,0,130.982998141264
"777","No",3,"male",29,0,130.982998141264
"778","Si",3,"female",5,0,12.475
"779","No",3,"male",29,0,77.375
"780","Si",1,"female",43,1,130.982998141264
"781","Si",3,"female",13,0,72.292
"782","Si",1,"female",17,1,57
"783","No",1,"male",29,0,30
"784","No",3,"male",29,3,130.982998141264
"785","No",3,"male",25,0,130.982998141264
"786","No",3,"male",25,0,130.982998141264
"787","Si",3,"female",18,0,74.958
"788","No",3,"male",8,5,29.125
"789","Si",3,"male",1,3,20.575
"790","No",1,"male",46,0,130.982998141264
"791","No",3,"male",29,0,130.982998141264
"792","No",2,"male",16,0,26
"793","No",3,"female",29,10,130.982998141264
"794","No",1,"male",29,0,306.958
"795","No",3,"male",25,0,78.958
"796","No",2,"male",39,0,13
"797","Si",1,"female",49,0,259.292
"798","Si",3,"female",31,0,86.833
"799","No",3,"male",30,0,72.292
"800","No",3,"female",30,2,130.982998141264
"801","No",2,"male",34,0,13
"802","Si",2,"female",31,2,130.982998141264
"803","Si",1,"male",11,3,120
"804","Si",3,"male",29,1,85.167
"805","Si",3,"male",27,0,6.975
"806","No",3,"male",31,0,7.775
"807","No",1,"male",39,0,0
"808","No",3,"female",18,0,7.775
"809","No",2,"male",39,0,13
"810","Si",1,"female",33,1,130.982998141264
"811","No",3,"male",26,0,78.875
"812","No",3,"male",39,0,130.982998141264
"813","No",2,"male",35,0,130.982998141264
"814","No",3,"female",6,6,31.275
"815","No",3,"male",29,0,130.982998141264
"816","No",1,"male",29,0,0
"817","No",3,"female",23,0,7.925
"818","No",2,"male",31,2,370.042
"819","No",3,"male",43,0,130.982998141264
"820","No",3,"male",10,5,130.982998141264
"821","Si",1,"female",52,2,130.982998141264
"822","Si",3,"male",27,0,86.625
"823","No",1,"male",38,0,0
"824","Si",3,"female",27,1,12.475
"825","No",3,"male",2,5,396.875
"826","No",3,"male",29,0,130.982998141264
"827","No",3,"male",29,0,564.958
"828","Si",2,"male",1,2,370.042
"829","Si",3,"male",29,0,130.982998141264
"830","Si",1,"female",62,0,80
"831","Si",3,"female",15,1,144.542
"832","Si",2,"male",29,2,130.982998141264
"833","No",3,"male",29,0,72.292
"834","No",3,"male",23,0,78.542
"835","No",3,"male",18,0,130.982998141264
"836","Si",1,"female",39,2,831.583
"837","No",3,"male",21,0,86.625
"838","No",3,"male",29,0,130.982998141264
"839","Si",3,"male",32,0,564.958
"840","Si",1,"male",29,0,130.982998141264
"841","No",3,"male",20,0,7.925
"842","No",2,"male",16,0,130.982998141264
"843","Si",1,"female",30,0,31
"844","No",3,"male",29,0,64.375
"845","No",3,"male",17,0,86.625
"846","No",3,"male",42,0,130.982998141264
"847","No",3,"male",29,10,130.982998141264
"848","No",3,"male",35,0,78.958
"849","No",2,"male",28,1,33
"850","Si",1,"female",29,1,891.042
"851","No",3,"male",4,6,31.275
"852","No",3,"male",74,0,7.775
"853","No",3,"female",9,2,152.458
"854","Si",1,"female",16,1,130.982998141264
"855","No",2,"female",44,1,26
"856","Si",3,"female",18,1,130.982998141264
"857","Si",1,"female",45,2,130.982998141264
"858","Si",1,"male",51,0,130.982998141264
"859","Si",3,"female",24,3,192.583
"860","No",3,"male",29,0,72.292
"861","No",3,"male",41,2,141.083
"862","No",2,"male",21,1,130.982998141264
"863","Si",1,"female",48,0,259.292
"864","No",3,"female",29,10,130.982998141264
"865","No",2,"male",24,0,13
"866","Si",2,"female",42,0,13
"867","Si",2,"female",27,1,138.583
"868","No",1,"male",31,0,504.958
"869","No",3,"male",29,0,130.982998141264
"870","Si",3,"male",4,2,111.333
"871","No",3,"male",26,0,78.958
"872","Si",1,"female",47,2,525.542
"873","No",1,"male",33,0,5
"874","No",3,"male",47,0,9
"875","Si",2,"female",28,1,24
"876","Si",3,"female",15,0,7.225
"877","No",3,"male",20,0,98.458
"878","No",3,"male",19,0,78.958
"879","No",3,"male",29,0,78.958
"880","Si",1,"female",56,1,831.583
"881","Si",2,"female",25,1,26
"882","No",3,"male",33,0,78.958
"883","No",3,"female",22,0,105.167
"884","No",2,"male",28,0,130.982998141264
"885","No",3,"male",25,0,130.982998141264
"886","No",3,"female",39,5,29.125
"887","No",2,"male",27,0,13
"888","Si",1,"female",19,0,30
"889","No",3,"female",29,3,130.982998141264
"890","Si",1,"male",26,0,30
"891","No",3,"male",32,0,130.982998141264
